1,系统管理,0,10,system,,"","",1,0,M,0,0,"",system,admin,2025-06-16 17:42:16,admin,2025-06-17 12:43:47,系统管理目录
2,系统监控,0,11,monitor,,"","",1,0,M,0,0,"",monitor,admin,2025-06-16 17:42:16,admin,2025-06-17 12:43:54,系统监控目录
3,系统工具,0,12,tool,,"","",1,0,M,0,0,"",tool,admin,2025-06-16 17:42:16,admin,2025-06-17 12:44:00,系统工具目录
4,若依官网,0,13,http://ruoyi.vip,,"","",0,0,M,1,0,"",guide,admin,2025-06-16 17:42:16,admin,2025-06-18 15:52:10,若依官网地址
100,用户管理,1,1,user,system/user/index,"","",1,0,C,0,0,system:user:list,user,admin,2025-06-16 17:42:16,"",,用户管理菜单
101,角色管理,1,2,role,system/role/index,"","",1,0,C,0,0,system:role:list,peoples,admin,2025-06-16 17:42:16,"",,角色管理菜单
102,菜单管理,1,3,menu,system/menu/index,"","",1,0,C,0,0,system:menu:list,tree-table,admin,2025-06-16 17:42:16,"",,菜单管理菜单
103,部门管理,1,4,dept,system/dept/index,"","",1,0,C,0,0,system:dept:list,tree,admin,2025-06-16 17:42:16,"",,部门管理菜单
104,岗位管理,1,5,post,system/post/index,"","",1,0,C,0,0,system:post:list,post,admin,2025-06-16 17:42:16,"",,岗位管理菜单
105,字典管理,1,6,dict,system/dict/index,"","",1,0,C,0,0,system:dict:list,dict,admin,2025-06-16 17:42:16,"",,字典管理菜单
106,参数设置,1,7,config,system/config/index,"","",1,0,C,0,0,system:config:list,edit,admin,2025-06-16 17:42:16,"",,参数设置菜单
107,通知公告,1,8,notice,system/notice/index,"","",1,0,C,0,0,system:notice:list,message,admin,2025-06-16 17:42:16,"",,通知公告菜单
108,日志管理,1,9,log,"","","",1,0,M,0,0,"",log,admin,2025-06-16 17:42:16,"",,日志管理菜单
109,在线用户,2,1,online,monitor/online/index,"","",1,0,C,0,0,monitor:online:list,online,admin,2025-06-16 17:42:16,"",,在线用户菜单
110,定时任务,2,2,job,monitor/job/index,"","",1,0,C,0,0,monitor:job:list,job,admin,2025-06-16 17:42:16,"",,定时任务菜单
111,数据监控,2,3,druid,monitor/druid/index,"","",1,0,C,0,0,monitor:druid:list,druid,admin,2025-06-16 17:42:16,"",,数据监控菜单
112,服务监控,2,4,server,monitor/server/index,"","",1,0,C,0,0,monitor:server:list,server,admin,2025-06-16 17:42:16,"",,服务监控菜单
113,缓存监控,2,5,cache,monitor/cache/index,"","",1,0,C,0,0,monitor:cache:list,redis,admin,2025-06-16 17:42:16,"",,缓存监控菜单
114,缓存列表,2,6,cacheList,monitor/cache/list,"","",1,0,C,0,0,monitor:cache:list,redis-list,admin,2025-06-16 17:42:16,"",,缓存列表菜单
115,表单构建,3,1,build,tool/build/index,"","",1,0,C,0,0,tool:build:list,build,admin,2025-06-16 17:42:16,"",,表单构建菜单
116,代码生成,3,2,gen,tool/gen/index,"","",1,0,C,0,0,tool:gen:list,code,admin,2025-06-16 17:42:16,"",,代码生成菜单
117,系统接口,3,3,swagger,tool/swagger/index,"","",1,0,C,0,0,tool:swagger:list,swagger,admin,2025-06-16 17:42:16,"",,系统接口菜单
500,操作日志,108,1,operlog,monitor/operlog/index,"","",1,0,C,0,0,monitor:operlog:list,form,admin,2025-06-16 17:42:16,"",,操作日志菜单
501,登录日志,108,2,logininfor,monitor/logininfor/index,"","",1,0,C,0,0,monitor:logininfor:list,logininfor,admin,2025-06-16 17:42:16,"",,登录日志菜单
1000,用户查询,100,1,"","","","",1,0,F,0,0,system:user:query,#,admin,2025-06-16 17:42:16,"",,""
1001,用户新增,100,2,"","","","",1,0,F,0,0,system:user:add,#,admin,2025-06-16 17:42:16,"",,""
1002,用户修改,100,3,"","","","",1,0,F,0,0,system:user:edit,#,admin,2025-06-16 17:42:16,"",,""
1003,用户删除,100,4,"","","","",1,0,F,0,0,system:user:remove,#,admin,2025-06-16 17:42:16,"",,""
